,Country,Emperor Order,Reign Years,latitude,longitude,
0,占城,6.714285714285710,15.0,11.573354803365300,108.989694658207,7
1,哈密,7.454545454545450,21.0,42.874295510192500,93.5372163770975,11
2,大理,5.75,18.25,25.6085168020088,100.267872254089,4
3,安南,8.333333333333330,19.333333333333300,21.035847086272,105.807735494038,3
4,暹罗,4.0,20.0,14.3641159208915,100.54450528592500,2
5,朝鲜,7.578947368421050,20.821052631578900,37.56653599999990,126.97796600000000,95
6,朵颜,9.9,24.2,42.933333000000000,119.03333300000000,10
7,榜葛剌,6.0,15.0,22.335,91.8325,1
8,泰宁,8.058823529411760,19.470588235294100,40.614802123895800,120.73624094568600,17
9,浡泥,3.0,23.0,4.52986403059245,114.64076115153,1
10,满剌加,11.0,17.0,2.23018316928585,102.221540775854,2
11,灌顶,3.0,23.0,29.2254613510501,91.761971148597,1
12,爪哇,4.0,20.333333333333300,-7.54201175682804,112.39099375247500,3
13,琉球,7.411764705882350,26.470588235294100,26.216836199186900,127.71569862273800,17
14,瓦剌,7.0,17.285714285714300,49.194047139056,89.07698218688000,7
15,福余,6.75,10.5,44.988990412186200,126.046840877544,4
16,苏门答剌,3.0,23.0,3.5954501750549700,98.68334582235740,1
17,阿鲁,3.0,23.0,3.70951208149303,98.60043710224320,1
18,鞑靼,3.0,23.0,47.210278,102.847778,2
19,高丽,1.0,31.0,37.9598590805264,126.61342955156900,3
